,년도 및 분기,회사명,지원 직종,지원 유형,학력,과,학점,토익 점수,토스 레벨,오픽 레벨,인턴 경험,자격증 개수,수상내역,자원봉사,해외 경험
2155,2021년 하반기,롯데쇼핑(주),MD,신입,대졸4년,사회계열,3.25,,,IH,1.0,3.0,2.0,1.0,
2156,2019년 하반기,롯데쇼핑(주),머신러닝엔지니어,신입,서울4년,응용통계학과,3.67,990.0,Level8,AL,1.0,1.0,1.0,,1.0
2157,2018년 하반기,롯데쇼핑(주),경영·비즈니스기획,신입,서울4년,경제,3.19,865.0,,IH,1.0,1.0,1.0,1.0,1.0
2158,2016년 상반기,롯데쇼핑(주),제품영업,인턴,서울4년,경영학과,3.7,930.0,,IH,,,,,
2159,2015년 하반기,롯데쇼핑(주),영업지원,인턴,서울4년,영어영문,4.0,985.0,Level7,IH,1.0,,,,1.0
2160,2016년 상반기,롯데쇼핑(주),비서,신입,초대졸,호텔경영과,3.0,440.0,,,1.0,1.0,,,
2161,2015년 하반기,롯데쇼핑(주),영업지원,신입,서울4년,영어교육학과,3.9,980.0,,IH,,1.0,,,
2162,2021년 하반기,롯데쇼핑㈜ e커머스사업본부,웹개발자,인턴,서울4년,컴퓨터공학과,4.1,845.0,,,,,,,
2163,2019년 하반기,롯데슈퍼,제품영업,인턴,서울4년,독어독문학과,4.05,895.0,,IH,,,,,1.0
2164,2016년 하반기,롯데슈퍼,영업지원,신입,지방4년,경영학과,3.7,900.0,,IH,,,,,
2165,2016년 하반기,롯데슈퍼,영업지원,신입,서울4년,경영학부,3.82,885.0,Level6,,,2.0,,1.0,
2166,2016년 하반기,롯데슈퍼,영업지원,신입,서울4년,경제학,3.6,,,,,,,,
2167,2016년 하반기,롯데슈퍼,영업지원,신입,서울4년,경제학과,4.0,920.0,,AL,1.0,,,,
2168,2016년 상반기,롯데슈퍼,제품영업,인턴,서울4년,경제학과,4.0,920.0,,AL,1.0,,,,
2169,2016년 하반기,롯데슈퍼,자재관리자,신입,서울4년,법학,3.6,850.0,,IH,,1.0,,,
2170,2016년 상반기,롯데슈퍼,자재관리자,신입,서울4년,법학,3.6,850.0,,IH,,1.0,,,
2171,2016년 상반기,롯데슈퍼,제품영업,인턴,지방4년,경영학부,3.9,870.0,Level6,,,5.0,,,1.0
2172,2015년 하반기,롯데슈퍼,영업지원,신입,서울4년,법학과,3.6,850.0,,IH,,2.0,,1.0,2.0
2173,2021년 하반기,롯데에너지머티리얼즈㈜,화학엔지니어,신입,지방4년,신소재 공학,3.7,,Level7,,,,,,
2174,2019년 상반기,롯데에너지머티리얼즈㈜,품질관리자,신입,지방4년,기계자동차공학부,3.25,,,,1.0,5.0,1.0,1.0,
2175,2018년 하반기,롯데에코월㈜,품질관리자,신입,대학원,기계설계공학과,3.16,745.0,,,,2.0,3.0,1.0,1.0
2176,2017년 하반기,롯데에코월㈜,품질관리자,신입,수도권4년,전자공학,3.3,,,,,,,,
2177,2021년 하반기,롯데웰푸드㈜,구매관리자,신입,대학원,중국어교육전공,4.16,940.0,,AL,,,,,4.0
2178,2018년 상반기,롯데웰푸드㈜,제품영업,신입,서울4년,중어중문과,4.31,970.0,Level7,,2.0,3.0,,2.0,2.0
2179,2019년 상반기,롯데웰푸드㈜,제품영업,신입,서울4년,영어통번역전공,3.76,805.0,,,1.0,4.0,,1.0,2.0
2180,2017년 하반기,롯데자산개발(주),해외영업,신입,서울4년,경영학과,4.03,905.0,,IM2,2.0,,,1.0,2.0
2181,2018년 상반기,롯데자산개발(주),영업지원,신입,초대졸,국제경영학,3.76,,,,,5.0,1.0,1.0,
2182,2016년 상반기,롯데자산개발(주),영업지원,신입,수도권4년,중국언어문화학,4.2,845.0,,,,,,,
2183,2022년 하반기,롯데정밀화학(주),화학엔지니어,신입,대학원,유기나노시스템공학과,4.5,,,IM1,,1.0,1.0,,
2184,2022년 상반기,롯데정밀화학(주),해외영업,신입,대학원,중국어교육전공,4.16,940.0,,AL,,,,,4.0
2185,2017년 하반기,롯데정밀화학(주),재무담당자,신입,서울4년,회계세무학과,3.75,895.0,Level6,,2.0,1.0,,2.0,
2186,2022년 상반기,롯데정보통신,인사담당자,신입,대학원,중국어교육전공,4.16,940.0,,AL,,,,,4.0
2187,2021년 하반기,롯데정보통신,웹개발자,신입,서울4년,컴퓨터공학과,4.1,845.0,,,,,,,
2188,2022년 상반기,롯데지알에스,사무담당자,신입,대졸4년,사회계열,3.25,,,IH,1.0,3.0,2.0,1.0,
2189,2017년 상반기,롯데지알에스,온라인마케터,신입,서울4년,수학,3.5,955.0,Level7,IH,3.0,,,,
2190,2017년 상반기,롯데지알에스,영업지원,신입,서울4년,경영학과,4.03,860.0,Level6,,1.0,2.0,2.0,1.0,
2191,2017년 상반기,롯데지주㈜,화학엔지니어,인턴,서울4년,화공생명공학과,4.25,,,IM2,,,,,
2192,2017년 하반기,롯데지주㈜,경영·비즈니스기획,신입,서울4년,경영학,3.84,895.0,Level6,,,,,,
2193,2017년 상반기,롯데지주㈜,제품영업,신입,서울4년,법,3.59,870.0,,IH,1.0,1.0,,,
2194,2016년 상반기,롯데지주㈜,제품영업,신입,지방4년,발명특허,3.93,,,,,1.0,,1.0,
2195,2017년 상반기,롯데지주㈜,제품영업,신입,지방4년,발명특허,3.93,,,,,,1.0,1.0,
2196,2015년 상반기,롯데지주㈜,품질관리자,신입,지방4년,식품영양학과,3.8,750.0,Level6,,,4.0,,,
2197,2015년 상반기,롯데지주㈜,영업지원,신입,수도권4년,법학과,3.7,805.0,Level6,,2.0,5.0,,1.0,1.0
2198,2017년 하반기,롯데첨단소재,품질관리자,신입,지방4년,공업화학과,4.08,780.0,Level6,,1.0,1.0,1.0,,
2199,2022년 하반기,롯데칠성음료(주),생산직종사자,신입,수도권4년,기계과 기계시스템전공,3.5,900.0,,IM3,,,,1.0,
2200,2022년 상반기,롯데칠성음료(주),품질관리자,신입,서울4년,식품영양학,3.83,855.0,Level6,,,4.0,,,
2201,2022년 상반기,롯데칠성음료(주),제품영업,신입,지방4년,수학과,3.27,,,,,2.0,,,
2202,2020년 하반기,롯데칠성음료(주),재무담당자,신입,서울4년,경영학부,3.5,,Level6,,,14.0,11.0,1.0,1.0
2203,2022년 상반기,롯데칠성음료(주),해외영업,신입,대학원,중국어교육전공,4.16,940.0,,AL,,,,,4.0
2204,2019년 상반기,롯데칠성음료(주),경영·비즈니스기획,신입,서울4년,경제학과,3.5,835.0,,IH,1.0,3.0,,,
2205,2019년 상반기,롯데칠성음료(주),제품영업,인턴,서울4년,경영학부,3.65,960.0,,AL,3.0,,,4.0,1.0
2206,2016년 하반기,롯데칠성음료(주),제품영업,인턴,수도권4년,통계학,3.4,880.0,Level6,,,1.0,,,
2207,2016년 하반기,롯데칠성음료(주),생산직종사자,신입,초대졸,전기공학,4.09,,,,,3.0,1.0,3.0,
2208,2015년 하반기,롯데칠성음료(주),영업지원,인턴,지방4년,경영정보학과,3.9,860.0,,IH,,3.0,,,1.0
2209,2015년 하반기,롯데칠성음료(주),제품영업,인턴,서울4년,체육학과/경영학과,3.7,775.0,,,1.0,4.0,3.0,1.0,1.0
2210,2015년 상반기,롯데칠성음료(주),해외영업,신입,서울4년,노어노문학과,3.9,845.0,Level6,,,3.0,,,
2211,2015년 상반기,롯데칠성음료(주),생산직종사자,인턴,지방4년,기계공학과,3.6,740.0,,,,3.0,2.0,,
2212,2015년 하반기,롯데칠성음료(주),품질관리자,인턴,지방4년,전자공학부,3.7,735.0,Level6,,,,,,
2213,2015년 하반기,롯데칠성음료(주),제품영업,인턴,지방4년,중국지역통상학과,4.3,810.0,,,1.0,4.0,,1.0,1.0
2214,2016년 상반기,롯데칠성음료(주),제품영업,신입,지방4년,광고홍보,4.3,835.0,,,3.0,,,,2.0
2215,2017년 상반기,롯데카드(주),경영·비즈니스기획,인턴,지방4년,경제학과,3.56,925.0,Level6,,,,,,
2216,2015년 상반기,롯데카드(주),영업지원,신입,대졸4년,경제학과,,,,,1.0,,,,
2217,2023년 상반기,롯데캐피탈(주),금융영업,신입,서울4년,경영학과,3.6,855.0,Level5,,,2.0,,,
2218,2023년 상반기,롯데캐피탈(주),재무담당자,신입,서울4년,공공인재학부,4.07,815.0,Level6,,,1.0,,,
2219,2022년 상반기,롯데캐피탈(주),심사,신입,대학원,수학과,3.27,,,,,2.0,,,
2220,2021년 하반기,롯데캐피탈(주),심사,신입,지방4년,수학과,3.27,,,,,2.0,,,
2221,2021년 상반기,롯데캐피탈(주),재무담당자,신입,지방4년,경영학과,3.78,835.0,Level7,,,7.0,,,
2222,2016년 하반기,롯데캐피탈(주),앱개발자,신입,서울4년,경영정보,3.5,730.0,Level6,,1.0,1.0,,1.0,
2223,2016년 상반기,롯데캐피탈(주),시스템엔지니어,신입,서울4년,경영정보,3.5,730.0,Level6,,1.0,1.0,,1.0,
2224,2023년 상반기,롯데컬처웍스(주),매장관리자,신입,지방4년,경영학과,4.12,755.0,,,,3.0,,,
2225,2022년 상반기,롯데컬처웍스(주),배급·제작자,신입,대졸4년,사회계열,3.25,,,IH,1.0,3.0,2.0,1.0,
2226,2022년 상반기,롯데컬처웍스(주),영업지원,신입,지방4년,수학과,3.27,,,,,2.0,,,
2227,2022년 하반기,롯데케미칼(주),설비엔지니어,신입,서울4년,자동차IT융합학과,3.45,,,IH,,2.0,1.0,,
2228,2022년 하반기,롯데케미칼(주),품질관리자,신입,고졸,,,,,,,,,,
2229,2022년 하반기,롯데케미칼(주),생산직종사자,신입,수도권4년,전자공학과,3.4,,,IH,,2.0,,,
2230,2022년 상반기,롯데케미칼(주),사무담당자,신입,지방4년,수학과,3.27,,,,,2.0,,,
2231,2021년 하반기,롯데케미칼(주),영업지원,신입,지방4년,수학과,3.27,,,,,2.0,,,
2232,2021년 하반기,롯데케미칼(주),사무담당자,신입,지방4년,수학과,3.27,,,,,2.0,,,
2233,2022년 상반기,롯데케미칼(주),인사담당자,신입,대학원,중국어교육전공,4.16,940.0,,AL,,,,,4.0
2234,2021년 상반기,롯데케미칼(주),품질관리자,신입,대학원,고분자공학과,3.71,740.0,Level6,,1.0,,1.0,1.0,
2235,2019년 상반기,롯데케미칼(주),화학엔지니어,신입,서울4년,화학공학/고분자공학부,4.25,980.0,Level6,,1.0,3.0,,,
2236,2018년 상반기,롯데케미칼(주),생산직종사자,신입,초대졸,화공플랜트산업,4.42,,,,,4.0,,1.0,
2237,2016년 상반기,롯데케미칼(주),생산직종사자,신입,초대졸,화공플랜트,4.4,,,,,1.0,,1.0,
2238,2016년 상반기,롯데케미칼(주),생산직종사자,신입,고졸,,,,,,,,2.0,2.0,
2239,2016년 상반기,롯데케미칼(주),인사담당자,신입,서울4년,중어중문학과,3.5,,,AL,2.0,1.0,,,1.0
2240,2014년 하반기,롯데케미칼(주),품질관리자,인턴,지방4년,금속신소재공학과,3.7,840.0,,,1.0,2.0,,,1.0
2241,2021년 하반기,롯데푸드㈜,품질관리자,신입,서울4년,식품영양학과,3.97,900.0,Level6,,1.0,3.0,1.0,1.0,
2242,2020년 상반기,롯데푸드㈜,영업지원,신입,서울4년,한문학과,3.81,970.0,,,1.0,,,1.0,1.0
2243,2017년 상반기,롯데푸드㈜,품질관리자,신입,수도권4년,산업경영공학과,3.77,,,IM2,,,,,
2244,2017년 상반기,롯데푸드㈜,제품영업,신입,서울4년,글로벌경영,3.01,,,,,1.0,,,
2245,2016년 하반기,롯데푸드㈜,제품영업,신입,서울4년,글로벌경영,3.01,,,,,,1.0,,
2246,2021년 하반기,롯데하이마트(주),영업지원,신입,대학원,중국어교육전공,4.16,940.0,,AL,,,,,4.0
2247,2017년 하반기,롯데하이마트(주),영업지원,인턴,수도권4년,경영학,3.94,875.0,Level6,,2.0,2.0,,,1.0
2248,2018년 하반기,롯데하이마트(주),영업지원,신입,수도권4년,경영학,3.94,875.0,Level6,,2.0,2.0,,,1.0
2249,2018년 상반기,롯데하이마트(주),영업지원,신입,지방4년,컴퓨터공학과,3.5,870.0,,IH,,,,,
2250,2017년 하반기,롯데하이마트(주),MD,신입,서울4년,중어중문,3.78,935.0,,IH,,,,,2.0
2251,2016년 하반기,롯데하이마트(주),영업지원,신입,서울4년,행정학,3.56,915.0,,IH,,3.0,,,1.0
2252,2016년 상반기,롯데하이마트(주),매장관리자,신입,고졸,,,,,,,,,,
2253,2015년 하반기,롯데하이마트(주),매장관리자,신입,서울4년,정밀화학과,3.8,850.0,Level6,,,1.0,2.0,,
2254,2016년 하반기,르노삼성자동차㈜,제품영업,신입,서울4년,경영,3.98,970.0,Level7,,2.0,,,,
2255,2016년 하반기,르노삼성자동차㈜,기계엔지니어,신입,수도권4년,기계공학과,3.7,900.0,Level7,,,1.0,,,1.0
2256,2016년 상반기,르노삼성자동차㈜,기계엔지니어,신입,서울4년,기계공학,3.85,935.0,,IH,,,,1.0,1.0
2257,2016년 상반기,르노삼성자동차㈜,자재관리자,신입,지방4년,물류시스템공학과,3.8,900.0,Level7,,1.0,5.0,,1.0,1.0
2258,2015년 하반기,르노삼성자동차㈜,기계엔지니어,신입,서울4년,기계공학과,3.5,780.0,,,,1.0,,,
2259,2023년 상반기,만도,품질관리자,신입,수도권4년,기계과 기계시스템전공,3.5,900.0,,13,,3.0,,1.0,
2260,2021년 하반기,만도,설계엔지니어,신입,서울4년,기계공학과,3.9,905.0,Level8,,,,,,
2261,2020년 하반기,만도,머신러닝엔지니어,신입,대학원,컴퓨터공학과,4.44,765.0,,IM1,,2.0,7.0,3.0,
2262,2016년 하반기,만도,현장관리자,인턴,지방4년,전기공학,3.11,880.0,Level6,,,2.0,,,1.0
2263,2016년 상반기,만도,기계엔지니어,인턴,수도권4년,고분자시스템공학과,3.8,895.0,Level6,M1,1.0,,,,
