Combination: ('년도 및 분기',)
년도 및 분기,count
화공생명공학,9
재료공학과,9
e-비즈니스과,9
행정학부,9
컴퓨터소프트웨어공학전공,9
화학생명공학,8
경영학과_경영전공,8
경제학,8
일어일문학과,8
화학공,8
부동산학과,8
응용통계,8
교육학과,8
국제관계학과,8
자동차공학과,8
전기전자공학과,8
생명과학부,8
전파정보통신공학과,8
국제통상,8
고분자시스템공학과,8
컨벤션호텔경영학과,8
국제통상과,8
전자통신공학과,8
정보시스템,8
전자재료공학과,8
컴공,7
영문,7
영어영문,7
신문학,7
IT응용공학과,7
불어불문,7
컴퓨터정보통신공학과,7
기계설계,7
융합기계공학전공,7
금융학과,7
생명화학공학과,7
시각디자인학과,7
수학,7
컴퓨터과학부,7
기계시스템공학과,7
인도네시아ㆍ말레이시아어과,7
물류시스템공학과,7
정책학과,7
문화콘텐츠학과,7
생물공학,7
융합전자공학부,6
국제통상학부,6
컴퓨터,6
미디어학과,6
제어계측공학과,6
회계,6
중어중문과,6
문화기획,6
국제통상학전공,6
영어통번역학과,6
응용화학공학과,6
사이버보안학과,6
사학,6
파이낸스경영학과,6
소프트웨어학과,6
상경계열,6
Labor and Employment Relations,6
컴퓨터과학,6
석유공학,6
환경공학,6
식품공학과(공학),6
통계,6
간호학과(4년제),6
컴퓨터정보공학부,6
신소재공학부 금속신소재공학전공,6
전자전기공학과,6
경영학과 경영학전공,6
신문방송,6
국어국문학,6
중국지역통상학과,5
컴퓨터소프트웨어,5
미디어커뮤니케이션학과,5
경제금융학과,5
어문계열,5
시스템경영공학과,5
영어통번역전공,5
서어서문학과,5
토목공학과,5
창의기술 매니지먼트전공,5
생명환경공학,5
지역환경기반공학,5
공공행정학부,5
심리학과,5
간호학과,5
상경대학계열,5
산업경영공학,5
컴퓨터정보공학,5
신재생전기계열,5
국제통상전공,5
기계과,5
환경보건학과,5
저널리즘학과,5
기술경영,5
기계시스템디자인공학과,5
기계시스템공학부,5
정치외교학과,5
행정,5
금속신소재공학과,5
경영관리전공,5
글로벌금융전공,5

Combination: ('지원 직종',)
지원 직종,count
품질관리자,504
사무담당자,488
영업지원,417
경영·비즈니스기획,393
제품영업,373
앱개발자,279
전기·전자엔지니어,245
금융영업,205
기계엔지니어,181
자재관리자,177
온라인마케터,167
반도체엔지니어,165
화학엔지니어,151
시스템엔지니어,148
재무담당자,140
인사담당자,137
해외영업,136
웹개발자,121
생산직종사자,120
회계담당자,104
네트워크엔지니어,80
구매관리자,65
전기기사,64
현장관리자,63
건축기사,60
MD,57
설계엔지니어,56
기술·전문강사,55
IT·기술영업,49
시설관리자,48
사무보조,40
R&D·연구원,35
머신러닝엔지니어,32
바이오·제약연구원,31
매장관리자,30
인바운드상담원,28
백엔드개발자,26
설치·수리기사,25
통신엔지니어,25
소프트웨어개발자,25
QA,23
웹기획,21
경영지원,20
설문·리서치,18
무역사무원,17
호텔종사자,17
법인영업,16
홍보,16
설비엔지니어,15
심사,15
환경기사,13
영업관리,12
마케팅기획,12
생산·공정관리자,11
토목기사,10
그래픽디자이너,10
간호사,9
컨설턴트,9
물류관리자,8
요리사,7
기자,7
의사,6
분양매니저,6
제품디자이너,6
웹퍼블리셔,6
포토그래퍼,5
세무담당자,5
비서,5

Combination: ('년도 및 분기', '회사명')
년도 및 분기,회사명,count
2015년 하반기,삼성전자㈜,32
2016년 상반기,GS리테일,27
2016년 상반기,삼성전자㈜,25
2016년 하반기,GS리테일,21
2016년 하반기,삼성전자㈜,21
2015년 하반기,GS리테일,20
2018년 상반기,삼성전자㈜,20
2015년 하반기,엘지전자㈜,16
2015년 하반기,씨제이올리브네트웍스㈜,14
2018년 하반기,삼성전자㈜,14
2017년 상반기,GS리테일,13
2015년 하반기,현대모비스㈜,12
2015년 하반기,SK C&C,12
2015년 하반기,엔에이치엔(주),12
2015년 하반기,롯데IT테크(주),12
2015년 하반기,대한항공,12
2019년 하반기,NH농협은행,11
2016년 상반기,SK텔레콤,11
2015년 하반기,㈜KT,11
2016년 상반기,국민건강보험공단,10
2019년 하반기,삼성전자㈜,10
2017년 하반기,삼성전자㈜,10
2017년 하반기,SK하이닉스(주),10
2019년 상반기,삼성전자㈜,10
2015년 하반기,CJ제일제당(주),10
2017년 하반기,한국전력공사,9
2016년 하반기,㈜효성,9
2016년 하반기,엘지전자㈜,9
2017년 하반기,GS리테일,9
2019년 상반기,한국철도공사,9
2016년 하반기,한국가스공사,9
2016년 상반기,현대자동차㈜,9
2016년 상반기,한국지역난방공사,9
2015년 하반기,SK하이닉스(주),9
2015년 하반기,두산에너빌리티(주),9
2015년 하반기,현대오토에버㈜,9
2015년 하반기,(주)한진,9
2015년 상반기,GS리테일,9
2016년 상반기,㈜KT,9
2015년 하반기,㈜효성,9
2016년 상반기,엘지디스플레이,8
2017년 상반기,SK하이닉스(주),8
2015년 상반기,현대자동차㈜,8
