Combination: ('년도 및 분기',)
년도 및 분기,count
국제통상학과,영업지원,9
행정학과,경영·비즈니스기획,9
기계공학과,설치·수리기사,9
전기공학과,품질관리자,9
법,사무담당자,9
무역학,영업지원,9
컴퓨터공학과,네트워크엔지니어,9
컴퓨터공학,웹개발자,8
산업환경보건학과,전기기사,8
경제학부,인사담당자,8
법,인사담당자,8
환경공학과,품질관리자,8
경제금융,영업지원,8
경제,영업지원,8
경영학,제품영업,8
법학과,영업지원,8
메카트로닉스공학과,품질관리자,8
산업경제학과,사무담당자,8
중국어교육전공,해외영업,8
정보통신전자공,네트워크엔지니어,8
역사콘텐츠학과,사무담당자,8
전자공학,반도체엔지니어,8
국어국문,경영·비즈니스기획,8
국어국문,온라인마케터,8
국제의료경영학과,R&D·연구원,8
e-비즈니스과,해외영업,8
전자컴퓨터통신공,기술·전문강사,8
화공생명공학과,바이오·제약연구원,7
중어중문학과,사무담당자,7
컴퓨터공학과,제품영업,7
경영,온라인마케터,7
한문학과,금융영업,7
신소재 공학,반도체엔지니어,7
독어독문학과,영업지원,7
기계공학과,설비엔지니어,7
체육학과/경영학과,영업지원,7
화학생명공학,화학엔지니어,7
기계공학부,기계엔지니어,7
산업경영공학과,시스템엔지니어,7
환경공학과/화학공학(복수전공),화학엔지니어,7
생명과학부,품질관리자,7
고분자공학과,화학엔지니어,7
생물공학,화학엔지니어,7
섬유시스템공학과,품질관리자,7
글로벌경영학과,재무담당자,7
발명특허,제품영업,7
법,영업지원,7
정보통신전자공학부,앱개발자,7
영어교육학과,해외영업,7
고분자공학과,품질관리자,7
영어영문학,소프트웨어개발자,7
금융경제,영업지원,6
영어통번역학과,제품영업,6
전기생체공학부,품질관리자,6
응용화학공학과,품질관리자,6
컨벤션호텔경영학과,사무담당자,6
법학,자재관리자,6
응용통계학과,설문·리서치,6
컴공,앱개발자,6
국제통상학부,사무담당자,6
경제,재무담당자,6
기계공학과,건축기사,6
국제의료경영학과,바이오·제약연구원,6
사이버보안학과,네트워크엔지니어,6
무역학과,금융영업,6
정보시스템,기술·전문강사,6
기계공학부,설계엔지니어,6
사학과,영업지원,6
수학과,영업지원,6
정보통신공학,앱개발자,6
정보통신공학과,네트워크엔지니어,6
정보통신공학과,시스템엔지니어,6
정보통신공학과,앱개발자,6
0,경영·비즈니스기획,6
전자전기컴퓨터,전기·전자엔지니어,6
조선해양공학과,품질관리자,6
상경학부,구매관리자,6
광고홍보학과,온라인마케터,6
전자공학부,전기·전자엔지니어,6
도시계획부동산,사무담당자,6
사회계열,사무담당자,6
물류시스템공학과,자재관리자,6
전자공학과,생산직종사자,6
산업시스템공학과,시스템엔지니어,6
경제학과,자재관리자,6
국어국문,제품영업,6
시각디자인학과,그래픽디자이너,6
경제학과,금융영업,6
독어독문학과,해외영업,6
전자통신공학과,반도체엔지니어,6
경제학과,MD,6
응용화학생명공학과,화학엔지니어,6
물리학과,반도체엔지니어,6
회계,경영·비즈니스기획,6
경영,제품영업,6
컴퓨터학부,기술·전문강사,6
경영학,사무담당자,6
컴퓨터공학과,영업지원,6
경영학과,해외영업,6
0,제품영업,6
건축학과,현장관리자,6
컴퓨터공학부,네트워크엔지니어,6
한국사학과,영업지원,6
화학공학과,화학엔지니어,6
화학공학과,생산직종사자,6
화학공학/고분자공학부,화학엔지니어,6
사회복지학과,영업지원,5
사회학과,영업지원,5
경제학과,해외영업,5
경제학과,품질관리자,5
식품자원경제학,자재관리자,5
영어영문학,경영·비즈니스기획,5
기계설계공학과,생산직종사자,5
한문학과,사무담당자,5
금융보험학과,사무담당자,5
영어영문학,금융영업,5
역사,자재관리자,5
환경보건학과,바이오·제약연구원,5
시스템경영공학과,품질관리자,5
영어영문학,사무담당자,5
글로벌경영,제품영업,5
인문학부,앱개발자,5
컴퓨터정보통신공학과,웹개발자,5
정보통신전자공,시스템엔지니어,5
도시계획부동산,건축기사,5
정보통신공학,네트워크엔지니어,5
컴퓨터소프트웨어,앱개발자,5
도시계획부동산,사무보조,5
경영학,금융영업,5
도시계획부동산,회계담당자,5
수학과,머신러닝엔지니어,5
자동차IT융합학과,기계엔지니어,5
화학공학부,화학엔지니어,5
국제통상,자재관리자,5
금융학과,금융영업,5
전파정보통신공학과,전기·전자엔지니어,5
국제통상학과,경영·비즈니스기획,5
경영학,온라인마케터,5
저널리즘학과,기자,5
중어중문학과,영업지원,5
경영대학 경영학과,인바운드상담원,5
경제,금융영업,5
신소재화학과,환경기사,5
회계학과,재무담당자,5
신소재공학과,반도체엔지니어,5
경영학과,자재관리자,5
회계학과,회계담당자,5
경제금융,금융영업,5
경영계열,사무담당자,5
신소재공학,품질관리자,5
경영,금융영업,5
글로벌금융전공,금융영업,5
유기나노시스템공학과,화학엔지니어,5
간호학과(4년제),간호사,5
미디어학부,온라인마케터,5
국제경영학과,경영·비즈니스기획,5
법학,영업지원,5
글로벌경영,영업지원,5
신소재 공학,R&D·연구원,5
행정학과,사무보조,5
전자공학부,품질관리자,5
전기생체공학부,현장관리자,5

Combination: ('년도 및 분기', '회사명', '학력')
년도 및 분기,회사명,학력,count
2015년 하반기,삼성전자㈜,서울4년,13
2015년 하반기,삼성전자㈜,지방4년,12
2016년 상반기,GS리테일,서울4년,10
2016년 상반기,GS리테일,지방4년,10
2015년 하반기,엘지전자㈜,서울4년,10
2018년 상반기,삼성전자㈜,수도권4년,9
2016년 하반기,GS리테일,서울4년,9
2015년 하반기,씨제이올리브네트웍스㈜,서울4년,9
2016년 상반기,한국지역난방공사,고졸,8
2015년 하반기,GS리테일,서울4년,8
2017년 상반기,GS리테일,서울4년,7
2016년 하반기,㈜효성,서울4년,7
2016년 상반기,삼성전자㈜,서울4년,7
2015년 하반기,대한항공,수도권4년,7
2016년 상반기,삼성전자㈜,지방4년,7
2016년 하반기,삼성전자㈜,서울4년,7
2015년 하반기,GS리테일,수도권4년,7
2018년 하반기,삼성전자㈜,수도권4년,7
2016년 하반기,삼성전자㈜,지방4년,6
2016년 상반기,삼성화재해상보험,고졸,6
2016년 상반기,삼성전자㈜,고졸,6
2015년 하반기,NH농협은행,서울4년,6
2016년 하반기,현대글로비스(주),서울4년,6
2015년 하반기,SK C&C,서울4년,6
2018년 상반기,삼성전자㈜,서울4년,6
2017년 하반기,GS리테일,서울4년,6
2015년 하반기,현대오토에버㈜,서울4년,6
2015년 하반기,현대모비스㈜,서울4년,6
2019년 상반기,삼성전자㈜,서울4년,6
2016년 상반기,한화시스템(주),서울4년,5
2016년 상반기,엘지전자㈜,서울4년,5
2017년 하반기,한국전력공사,서울4년,5
2015년 하반기,롯데IT테크(주),서울4년,5
2015년 하반기,SK하이닉스(주),지방4년,5
2015년 상반기,GS리테일,수도권4년,5
2016년 하반기,삼성전자㈜,수도권4년,5
2016년 상반기,㈜KT,지방4년,5
2019년 하반기,삼성전자㈜,서울4년,5
2018년 하반기,한국전력공사,서울4년,5
2015년 상반기,㈜CJ ENM,서울4년,5
2015년 하반기,씨제이올리브네트웍스㈜,수도권4년,5
2017년 하반기,㈜BGF리테일,서울4년,5
2016년 상반기,GS리테일,수도권4년,5
2019년 상반기,한국수자원공사,서울4년,5
2015년 하반기,CJ제일제당(주),서울4년,5
2022년 상반기,삼성전자㈜,서울4년,5
2016년 하반기,GS리테일,수도권4년,5
2016년 상반기,국민건강보험공단,지방4년,5
2016년 하반기,엘지전자㈜,서울4년,5
2019년 하반기,NH농협은행,지방4년,5
2016년 상반기,현대자동차㈜,서울4년,5
2015년 상반기,현대모비스㈜,서울4년,5
2019년 상반기,한국철도공사,서울4년,5
2015년 상반기,현대제철주식회사,서울4년,5

Combination: ('년도 및 분기', '회사명', '과')
년도 및 분기,회사명,과,count
2016년 상반기,한국지역난방공사,0,8
2016년 상반기,삼성화재해상보험,0,6
2016년 상반기,삼성전자㈜,0,6
2015년 하반기,SK C&C,컴퓨터공학과,5

Combination: ('년도 및 분기', '회사명', '지원 직종')
년도 및 분기,회사명,지원 직종,count
2016년 상반기,GS리테일,영업지원,15
2018년 상반기,삼성전자㈜,반도체엔지니어,14
2015년 하반기,GS리테일,영업지원,13
2016년 하반기,GS리테일,영업지원,11
2015년 하반기,(주)한진,자재관리자,8
2016년 하반기,삼성전자㈜,반도체엔지니어,7
2017년 상반기,GS리테일,영업지원,7
2015년 하반기,엔에이치엔(주),앱개발자,7
2018년 상반기,SK하이닉스(주),반도체엔지니어,7
2015년 상반기,현대자동차㈜,기계엔지니어,6
2016년 상반기,삼성전자㈜,반도체엔지니어,6
2015년 하반기,씨제이올리브네트웍스㈜,앱개발자,6
2015년 하반기,SK C&C,앱개발자,6
2019년 하반기,NH농협은행,금융영업,6
2015년 하반기,CJ대한통운(주),자재관리자,6
2016년 하반기,GS리테일,자재관리자,6
2015년 하반기,삼성전자㈜,반도체엔지니어,6
2016년 하반기,엔에이치엔(주),웹개발자,5
2015년 하반기,현대위아(주),품질관리자,5
2015년 하반기,롯데IT테크(주),앱개발자,5
2015년 하반기,삼성전자㈜,앱개발자,5
2015년 하반기,삼성전자㈜,전기·전자엔지니어,5
2016년 상반기,GS리테일,제품영업,5
2015년 하반기,현대오토에버㈜,앱개발자,5
2017년 하반기,삼성전자㈜,반도체엔지니어,5
2016년 하반기,삼성전자㈜,앱개발자,5
2016년 상반기,한국전력공사,사무담당자,5
2015년 상반기,GS리테일,제품영업,5
2018년 하반기,삼성전자㈜,반도체엔지니어,5
2017년 하반기,한국동서발전(주),전기·전자엔지니어,5
2016년 하반기,현대글로비스(주),자재관리자,5

Combination: ('년도 및 분기', '학력', '과')
년도 및 분기,학력,과,count
2016년 상반기,고졸,0,75
2020년 상반기,지방4년,행정학과,29
2020년 하반기,서울4년,경영학부,26
2023년 상반기,서울4년,경영학과,25
2016년 하반기,고졸,0,24
2015년 하반기,서울4년,컴퓨터공학,23
2016년 하반기,서울4년,경영학과,23
2017년 하반기,고졸,0,23
2023년 상반기,서울4년,공공인재학부,23
2017년 하반기,서울4년,경영학,22
2018년 하반기,고졸,0,22
2017년 하반기,수도권4년,전자공학,22
2022년 하반기,수도권4년,경제학과,22
2015년 하반기,수도권4년,컴퓨터공학과,21
2016년 하반기,서울4년,경영,20
2015년 하반기,지방4년,기계공학과,20
2019년 하반기,서울4년,영어영문학,20
2019년 하반기,서울4년,전기전자,20
2017년 하반기,서울4년,국어국문,19
2016년 하반기,지방4년,기계설계공학과,19
2018년 상반기,서울4년,경영학과,18
2018년 하반기,서울4년,법,18
2021년 하반기,고졸,0,18
2017년 상반기,서울4년,법,18
2016년 하반기,서울4년,국제통상학과,18
2017년 상반기,서울4년,회계세무학과,18
2017년 상반기,서울4년,경제,17
2015년 상반기,서울4년,경영학과,17
2015년 하반기,서울4년,경제학과,17
2022년 상반기,대졸4년,사회계열,17
2016년 상반기,서울4년,컴퓨터공학부,16
2018년 상반기,대학원,경영학과,16
2015년 하반기,서울4년,컴퓨터공학부,16
2017년 하반기,서울4년,국제물류학과,16
2016년 하반기,수도권4년,정보통신전자공,15
2015년 하반기,수도권4년,화학공학,15
2015년 하반기,서울4년,컴퓨터학부,15
2022년 상반기,대학원,중국어교육전공,14
2015년 하반기,지방4년,경제금융,14
2018년 하반기,서울4년,행정학과,14
2015년 하반기,수도권4년,컴퓨터공학부,13
2017년 하반기,서울4년,산업시스템공학과,13
2022년 상반기,대학원,국제의료경영학과,13
2019년 상반기,서울4년,경영학부,13
2018년 상반기,고졸,0,13
2016년 상반기,수도권4년,중국언어문화학,13
2019년 하반기,고졸,0,13
2015년 하반기,수도권4년,컴퓨터공학,13
2016년 상반기,서울4년,컴퓨터학부,12
2016년 상반기,서울4년,법학,12
2016년 하반기,서울4년,영어교육학과,12
2015년 하반기,서울4년,기계공학과,12
2017년 하반기,서울4년,경영학과,12
2023년 상반기,서울4년,경영대학 경영학과,12
2020년 하반기,고졸,0,12
2015년 하반기,지방4년,컴퓨터학부,12
2021년 하반기,대학원,중국어교육전공,12
2015년 상반기,서울4년,기계공학과,12
2017년 상반기,대학원,전자컴퓨터통신공,12
2018년 하반기,서울4년,정보통신공학과,12
2018년 상반기,지방4년,경영학과,12
2015년 하반기,서울4년,전자전기컴퓨터,11
2017년 상반기,대학원,산업공학,11
2020년 상반기,수도권4년,경영학과 마케팅경영전공,11
2016년 하반기,서울4년,환경공학과/화학공학(복수전공),11
2018년 하반기,대졸4년,무역학과,11
2016년 하반기,서울4년,식품자원경제학,11
2019년 하반기,수도권4년,응용화학생명공학과,11
2016년 상반기,지방4년,컴퓨터공학,11
2018년 하반기,수도권4년,산업경영공학과,11
2017년 상반기,지방4년,기계설계공학과,11
2017년 하반기,대학원,휴먼ICT융합학과,11
2017년 상반기,서울4년,경영학과,11
2019년 상반기,서울4년,전기전자,11
2016년 상반기,지방4년,경영학부,11
2019년 상반기,지방4년,신소재화학과,11
2016년 상반기,서울4년,경제학과,11
2017년 하반기,서울4년,회계세무학과,10
2015년 하반기,서울4년,경영학과,10
2015년 상반기,수도권4년,경영학과,10
2016년 상반기,서울4년,경영학과,10
2022년 하반기,서울4년,경영학과,10
2018년 상반기,서울4년,법학과,10
2018년 하반기,수도권4년,관광경영,10
2017년 상반기,서울4년,도시공,10
2015년 하반기,서울4년,컴퓨터공학과,10
2015년 하반기,수도권4년,화학공학과,9
2016년 상반기,수도권4년,경영학과,9
2015년 상반기,서울4년,전자공학과,9
2016년 상반기,지방4년,경제학과,9
2020년 상반기,서울4년,경영학부,9
2016년 상반기,지방4년,도시계획부동산,9
2017년 상반기,고졸,0,9
2015년 하반기,수도권4년,경제학과,9
2021년 하반기,대학원,기계공학과,9
2015년 상반기,지방4년,기계공학과,9
2015년 상반기,서울4년,컴퓨터공학과,9
2015년 하반기,수도권4년,기계공학부,9
2022년 하반기,수도권4년,신소재 공학,9
2016년 하반기,지방4년,도시계획부동산,9
2021년 상반기,지방4년,경영학과,9
2019년 하반기,서울4년,경제학과,9
2016년 상반기,지방4년,경제통상학부,9
2016년 상반기,서울4년,전기생체공학부,9
2016년 하반기,수도권4년,산업경제학과,9
2016년 하반기,대졸4년,소프트웨어공학과,9
2016년 상반기,서울4년,기계공학,9
2015년 하반기,서울4년,기계공/ 바이오융합기술,9
2015년 하반기,대졸4년,컴퓨터공학,9
2018년 상반기,수도권4년,컴퓨터공학과,9
2022년 상반기,서울4년,경영학과,9
2019년 상반기,고졸,0,9
2021년 상반기,서울4년,화학공학부,9
2016년 상반기,서울4년,금융경제,9
2017년 상반기,지방4년,전자공학,8
2021년 하반기,서울4년,자동차IT융합학과,8
2015년 상반기,서울4년,행정학과,8
2015년 하반기,지방4년,메카트로닉스공학과,8
2023년 상반기,지방4년,컴퓨터소프트웨어공학과,8
2018년 하반기,서울4년,경제학과,8
2022년 상반기,지방4년,산업공학과,8
2015년 하반기,서울4년,전자공학과,8
2015년 하반기,서울4년,경제학부,8
2022년 하반기,수도권4년,전자공학과,8
2019년 상반기,서울4년,영어영문학,8
2015년 하반기,지방4년,안전공학과,8
2019년 상반기,서울4년,경제,8
2023년 하반기,수도권4년,컴퓨터공학과,8
2016년 하반기,서울4년,도시공학과/국제물류학과,8
2017년 상반기,서울4년,한국사학과,8
2020년 상반기,대학원,반도체&디스플레이과학경영학과,8
2016년 상반기,서울4년,중어중문학과,8
2019년 하반기,서울4년,응용통계학과,8
2016년 하반기,지방4년,컴퓨터소프트웨어공학전공,8
2021년 하반기,서울4년,경영학과,8
2020년 하반기,서울4년,경영학과_경영전공,8
2016년 상반기,서울4년,영어교육학과,8
2023년 상반기,서울4년,영어영문학,8
2017년 하반기,지방4년,전자공학,8
2015년 하반기,지방4년,고분자공학과,8
2016년 상반기,서울4년,식품생명공학과,8
2015년 상반기,서울4년,신문방송학과,8
2019년 하반기,서울4년,경영학부,8
2018년 상반기,서울4년,전기전자,8
2016년 하반기,수도권4년,컴퓨터공학부,8
2018년 상반기,서울4년,전자IT미디어공학과,8
2019년 하반기,서울4년,독어독문학과,8
2021년 상반기,서울4년,무역학과,8
2018년 상반기,수도권4년,산업경영공학과,8
2021년 상반기,서울4년,전기공학과,8
2016년 상반기,지방4년,환경공학과,7
2021년 상반기,대학원,중국어교육전공,7
2022년 하반기,고졸,0,7
2016년 상반기,해외대학,Business Administration,7
2022년 상반기,수도권4년,경제학과,7
2015년 하반기,서울4년,글로벌경영,7
2022년 하반기,서울4년,공공인재학부,7
2016년 하반기,서울4년,전자공학과,7
2015년 하반기,서울4년,화공생명공학과,7
2022년 상반기,지방4년,수학과,7
2016년 하반기,서울4년,컴퓨터공학과,7
2016년 상반기,지방4년,컴퓨터공학과,7
2015년 하반기,서울4년,신소재공학과,7
2015년 하반기,수도권4년,경영학과,7
2022년 상반기,서울4년,컴퓨터공학과,7
2022년 하반기,서울4년,생명과학부,7
2020년 상반기,수도권4년,경제학과,7
2016년 하반기,수도권4년,경영학과,7
2016년 하반기,서울4년,정보시스템,7
2015년 하반기,지방4년,컴퓨터공학,7
2017년 하반기,지방4년,노인복지보건,7
2018년 상반기,서울4년,행정학과,7
2017년 하반기,서울4년,전기전자,7
2019년 하반기,서울4년,컴퓨터공학부 컴퓨터공학전공,7
2016년 상반기,서울4년,체육학과/경영학과,7
2016년 상반기,서울4년,중국문화/경영,7
2017년 하반기,지방4년,전자공학부,7
2022년 상반기,서울4년,기계공학과,7
2016년 상반기,서울4년,"무역학과,경영학과(복수전공)",7
2018년 상반기,서울4년,회계세무학과,7
2017년 상반기,지방4년,컴퓨터공학,7
2016년 상반기,서울4년,경영학부,7
2018년 상반기,해외대학,상경학부,7
2016년 상반기,서울4년,경영,7
2019년 상반기,서울4년,화학공학/고분자공학부,7
2021년 하반기,서울4년,컴퓨터공학과,7
2018년 하반기,서울4년,전기전자,7
2018년 하반기,수도권4년,e-비즈니스과,7
2016년 상반기,수도권4년,산업경제학과,7
2015년 하반기,서울4년,미디어학부,7
2019년 하반기,지방4년,사학과,7
2017년 상반기,지방4년,도시계획부동산,7
2022년 하반기,수도권4년,기계과 기계시스템전공,7
2019년 하반기,지방4년,독어독문학과,6
2021년 상반기,서울4년,경영학부,6
2020년 상반기,고졸,0,6
2015년 하반기,지방4년,무역학,6
2017년 상반기,수도권4년,산업경영공학과,6
2017년 상반기,서울4년,경제학과,6
2016년 하반기,대학원,석유공학,6
2016년 하반기,서울4년,한국사학과,6
2018년 상반기,지방4년,노인복지보건,6
2016년 하반기,대졸4년,행정학부,6
2016년 하반기,대졸4년,컴퓨터학부,6
2015년 상반기,수도권4년,컴퓨터공학과,6
2023년 상반기,수도권4년,경제학과,6
2016년 상반기,서울4년,응용통계,6
2016년 상반기,지방4년,노인복지보건학과,6
2016년 하반기,수도권4년,전자공학과,6
2016년 하반기,서울4년,전자재료공학과,6
2018년 하반기,서울4년,경제,6
2015년 하반기,지방4년,경영학부,6
2018년 하반기,수도권4년,경영학,6
2015년 하반기,지방4년,컴퓨터공학과,6
2016년 하반기,서울4년,기계공학,6
2015년 하반기,지방4년,컴퓨터공학부,6
2016년 하반기,서울4년,법학,6
2016년 하반기,서울4년,불어불문,6
2015년 하반기,지방4년,화학공학부,6
2018년 하반기,수도권4년,기계공학과,6
2020년 상반기,대학원,국제의료경영학과,6
2018년 하반기,서울4년,글로벌경영학과,6
2018년 하반기,서울4년,회계세무학과,6
2016년 하반기,서울4년,건축학과,6
2017년 상반기,서울4년,전기공학,6
2015년 하반기,서울4년,식품생명공학과,6
2015년 하반기,서울4년,광고홍보학과,6
2016년 하반기,서울4년,응용통계학과,6
2018년 하반기,서울4년,유기나노시스템공학과,6
2015년 상반기,고졸,0,6
2016년 상반기,지방4년,기계설계공학과,6
2017년 하반기,지방4년,신소재공학부 금속신소재공학전공,6
2017년 하반기,대학원,신소재 공학,6
2023년 상반기,대졸4년,중국어과,6
2019년 하반기,서울4년,회계학과,6
2017년 상반기,지방4년,발명특허,6
2016년 상반기,지방4년,컴퓨터학부,6
2015년 하반기,서울4년,파이낸스경영학과,6
2017년 하반기,서울4년,전기생체공학부,6
2017년 하반기,대학원,전자컴퓨터통신공,6
2016년 하반기,지방4년,컴퓨터공학과,6
2015년 상반기,서울4년,법학과,6
2016년 상반기,지방4년,전자공학부,6
2022년 하반기,서울4년,기계공학과,6
2016년 상반기,지방4년,전자공학과,6
2016년 상반기,수도권4년,법학과,6
2015년 상반기,서울4년,컴퓨터공학부,6
2015년 상반기,서울4년,컴퓨터학부,6
2017년 상반기,대학원,생물공학,6
2022년 하반기,대학원,컨벤션호텔경영학과,6
2017년 상반기,서울4년,중어중문,6
2017년 하반기,수도권4년,사이버보안학과,6
2020년 하반기,서울4년,경영계열,6
2022년 하반기,수도권4년,경영학부,6
2017년 상반기,지방4년,노인복지보건,6
2016년 하반기,지방4년,경제학과,6
2016년 상반기,서울4년,전자공학과,6
2020년 하반기,대학원,반도체&디스플레이과학경영학과,6
2022년 상반기,수도권4년,산업환경보건학과,5
2022년 상반기,수도권4년,전자공학과,5
2021년 상반기,수도권4년,식품생명공학과,5
2016년 상반기,수도권4년,화학공학과,5
2021년 상반기,수도권4년,화학과,5
2015년 하반기,지방4년,경영정보학과,5
2022년 상반기,서울4년,언론홍보학과,5
2016년 하반기,서울4년,건축공학부,5
2016년 하반기,서울4년,경영정보,5
2021년 하반기,지방4년,전자공학전공,5
2016년 하반기,서울4년,경영학부,5
2016년 상반기,지방4년,정보통신공학,5
2021년 상반기,서울4년,시각디자인학과,5
2021년 하반기,대학원,국제의료경영학과,5
2016년 상반기,수도권4년,컴퓨터공학부,5
2016년 상반기,지방4년,IT응용공학과,5
2016년 상반기,수도권4년,기계공학과,5
2021년 하반기,수도권4년,산업환경보건학과,5
2015년 하반기,수도권4년,정보통신공학과,5
2015년 하반기,지방4년,기계공학,5
2021년 하반기,대학원,화공생명공학과,5
2015년 하반기,서울4년,전기생체공학부,5
2021년 하반기,서울4년,경영학부,5
2015년 하반기,서울4년,컴퓨터소프트웨어,5
2021년 하반기,서울4년,식품영양학과,5
2021년 하반기,서울4년,영어영문학과,5
2021년 상반기,서울4년,경영학과,5
2016년 상반기,지방4년,경영학,5
2022년 하반기,대학원,유기나노시스템공학과,5
2017년 하반기,대학원,경영학과,5
2019년 상반기,지방4년,경영학과,5
2017년 상반기,서울4년,경영학,5
2015년 상반기,수도권4년,화학공학과,5
2023년 상반기,수도권4년,기계과 기계시스템전공,5
2015년 상반기,지방4년,경영학과,5
2018년 상반기,서울4년,경영계열,5
2019년 상반기,지방4년,전자공학,5
2016년 하반기,지방4년,컴퓨터학부,5
2023년 상반기,수도권4년,경영학부,5
2018년 상반기,지방4년,기계공학과,5
2017년 하반기,서울4년,화공생명공학,5
2016년 하반기,지방4년,전자공학,5
2018년 상반기,지방4년,제어계측공학과,5
2020년 상반기,지방4년,고분자공학과,5
2018년 상반기,초대졸,국제경영학,5
2018년 상반기,대학원,화학공학,5
2017년 상반기,서울4년,정보통신전자공학부,5
2015년 하반기,지방4년,컴공,5
2017년 하반기,지방4년,경제통상학부,5
2017년 하반기,서울4년,금융학과,5
2019년 하반기,서울4년,전자전기공학부,5
2023년 상반기,대학원,전파정보통신공학과,5
2015년 상반기,서울4년,언론홍보학과,5
2017년 하반기,수도권4년,전기공학과,5
2015년 상반기,서울4년,전기생체공학부,5
2015년 상반기,서울4년,전자전기공학부,5
2017년 하반기,지방4년,환경공학과,5
2016년 하반기,서울4년,경제학과,5
2017년 상반기,지방4년,화학공학,5
2015년 상반기,서울4년,경제학과,5
2019년 하반기,서울4년,경영학과,5
2019년 하반기,대학원,사회학과,5
2017년 상반기,수도권4년,화학공,5
2020년 상반기,지방4년,화학공학부,5
2018년 상반기,지방4년,전자공학부,5
2016년 하반기,지방4년,국제통상학부,5
2016년 하반기,수도권4년,법학과,5
2018년 하반기,지방4년,조선해양공학과,5
2016년 하반기,서울4년,소프트웨어공학과,5
2015년 하반기,서울4년,국제통상학과,5
2016년 하반기,서울4년,영어통번역학과,5
2015년 하반기,서울4년,경영,5
2019년 상반기,서울4년,역사콘텐츠학과,5
2015년 하반기,고졸,0,5
2020년 하반기,서울4년,융합기계공학전공,5
2016년 하반기,수도권4년,기계공학과,5
2017년 하반기,서울4년,환경공학과,5
2016년 하반기,수도권4년,응용통계학과,5
2018년 하반기,서울4년,경영학과,5
2018년 하반기,대학원,환경보건학과,5
2018년 하반기,대학원,화학공학,5

Combination: ('년도 및 분기', '학력', '지원 직종')
년도 및 분기,학력,지원 직종,count
2015년 하반기,서울4년,앱개발자,38
2016년 하반기,서울4년,영업지원,38
2015년 하반기,서울4년,영업지원,37
2016년 상반기,서울4년,영업지원,36
2015년 하반기,지방4년,품질관리자,35
2016년 하반기,서울4년,제품영업,35
2016년 하반기,서울4년,경영·비즈니스기획,31
2015년 하반기,지방4년,영업지원,28
2018년 상반기,서울4년,사무담당자,27
2020년 상반기,지방4년,사무담당자,25
2015년 하반기,수도권4년,품질관리자,24
2016년 하반기,서울4년,자재관리자,24
2015년 하반기,지방4년,앱개발자,24
2016년 상반기,지방4년,제품영업,24
2015년 하반기,수도권4년,앱개발자,23
2018년 하반기,서울4년,사무담당자,23
2017년 하반기,서울4년,경영·비즈니스기획,22
2016년 상반기,지방4년,사무담당자,22
2017년 상반기,서울4년,경영·비즈니스기획,22
2017년 하반기,서울4년,영업지원,20
2017년 상반기,서울4년,제품영업,20
2015년 하반기,서울4년,품질관리자,20
2018년 하반기,수도권4년,품질관리자,20
2016년 상반기,서울4년,시스템엔지니어,19
2017년 상반기,서울4년,영업지원,19
2019년 하반기,서울4년,전기기사,19
2016년 하반기,지방4년,앱개발자,19
2016년 하반기,서울4년,품질관리자,19
2015년 하반기,서울4년,시스템엔지니어,19
2017년 하반기,고졸,전기·전자엔지니어,19
2015년 하반기,서울4년,기계엔지니어,18
2015년 하반기,서울4년,기술·전문강사,18
2017년 상반기,서울4년,사무담당자,18
2017년 하반기,수도권4년,품질관리자,18
2016년 상반기,수도권4년,사무담당자,17
2015년 하반기,지방4년,기계엔지니어,17
2016년 하반기,지방4년,사무담당자,17
2015년 하반기,서울4년,경영·비즈니스기획,17
2018년 하반기,서울4년,제품영업,16
2019년 하반기,서울4년,인사담당자,16
2016년 하반기,서울4년,사무담당자,16
2022년 하반기,수도권4년,회계담당자,16
2018년 상반기,대학원,사무담당자,16
2016년 상반기,서울4년,경영·비즈니스기획,16
2015년 하반기,수도권4년,시스템엔지니어,16
2022년 상반기,지방4년,품질관리자,15
2015년 상반기,서울4년,제품영업,15
2015년 하반기,서울4년,전기·전자엔지니어,15
2016년 하반기,수도권4년,품질관리자,15
2016년 상반기,서울4년,제품영업,15
2018년 하반기,고졸,전기·전자엔지니어,15
2019년 상반기,서울4년,제품영업,15
2015년 상반기,서울4년,경영·비즈니스기획,14
2015년 하반기,서울4년,온라인마케터,14
2015년 상반기,서울4년,앱개발자,14
2020년 하반기,서울4년,재무담당자,14
2016년 하반기,서울4년,인사담당자,14
2017년 하반기,서울4년,자재관리자,14
2016년 상반기,고졸,회계담당자,14
2015년 하반기,서울4년,금융영업,14
2017년 하반기,서울4년,사무담당자,14
2018년 하반기,지방4년,품질관리자,14
2016년 상반기,서울4년,인사담당자,14
2016년 상반기,서울4년,자재관리자,14
2015년 상반기,서울4년,온라인마케터,13
2016년 하반기,서울4년,해외영업,13
2015년 하반기,수도권4년,영업지원,13
2017년 하반기,서울4년,전기·전자엔지니어,13
2017년 하반기,서울4년,제품영업,13
2016년 상반기,지방4년,품질관리자,13
2016년 하반기,수도권4년,시스템엔지니어,13
2019년 상반기,서울4년,사무담당자,13
2017년 상반기,지방4년,품질관리자,13
2016년 하반기,지방4년,품질관리자,13
2016년 상반기,서울4년,앱개발자,12
2016년 상반기,서울4년,화학엔지니어,12
2016년 상반기,고졸,사무담당자,12
2019년 하반기,서울4년,사무담당자,12
